# The following table is formatted as tab separated values.
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Bo2g121020.1_exon_7	GENE_Bo2g121020.1_exon_7	transcript:Bo2g121020.1	protein_coding	0	2	6	222	0	0	0	0	98	0	0	0	14	6	0	0	0	0	0	1	0	0	0	0	1	111
gene:Bo2g121020	gene:Bo2g121020	Bo2g121020.1	protein_coding	0	0	0	230	0	0	0	0	111	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	98
Bo5g065610.1_exon_7	GENE_Bo5g065610.1_exon_7	transcript:Bo5g065610.1	protein_coding	0	0	0	81	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	77
gene:Bo5g065610	gene:Bo5g065610	Bo5g065610.1	protein_coding	0	0	0	81	0	0	0	0	77	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Bo4g149800.1_exon_1	GENE_Bo4g149800.1_exon_1	transcript:Bo4g149800.1	protein_coding	1	6	3	297	0	0	0	0	112	0	0	0	29	3	0	0	0	0	1	5	0	0	0	0	2	161
gene:Bo4g149800	gene:Bo4g149800	Bo4g149800.1	protein_coding	0	0	0	307	0	0	0	0	112	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	161
Bo8g101000.1_exon_9	GENE_Bo8g101000.1_exon_9	transcript:Bo8g101000.1	protein_coding	0	0	0	69	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	37
gene:Bo8g101000	gene:Bo8g101000	Bo8g101000.1	protein_coding	0	0	0	69	0	0	0	0	37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	31
Bo2g061320.1_exon_1	GENE_Bo2g061320.1_exon_1	transcript:Bo2g061320.1	protein_coding	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
gene:Bo2g061320	gene:Bo2g061320	Bo2g061320.1	protein_coding	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
Bo3g138550.1_exon_1	GENE_Bo3g138550.1_exon_1	transcript:Bo3g138550.1	protein_coding	0	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
gene:Bo3g138550	gene:Bo3g138550	Bo3g138550.1	protein_coding	0	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Bo5g043120.1_exon_1	GENE_Bo5g043120.1_exon_1	transcript:Bo5g043120.1	protein_coding	0	1	0	179	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	128
gene:Bo5g043120	gene:Bo5g043120	Bo5g043120.1	protein_coding	0	0	0	180	0	0	0	0	51	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	128
Bo2g005260.1_exon_4	GENE_Bo2g005260.1_exon_4	transcript:Bo2g005260.1	protein_coding	1	13	7	431	0	0	0	0	233	0	1	0	51	7	0	0	0	0	0	7	1	0	0	0	7	153
gene:Bo2g005260	gene:Bo2g005260	Bo2g005260.1	protein_coding	0	0	0	452	0	0	0	0	153	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	233
Bo3g040460.1_exon_4	GENE_Bo3g040460.1_exon_4	transcript:Bo3g040460.1	protein_coding	0	6	4	568	0	0	0	0	185	0	0	0	202	4	0	0	0	0	0	2	0	0	0	0	4	183
gene:Bo3g040460	gene:Bo3g040460	Bo3g040460.1	protein_coding	0	0	0	578	0	0	0	0	183	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	185
Bo4g074330.1_exon_4	GENE_Bo4g074330.1_exon_4	transcript:Bo4g074330.1	protein_coding	0	0	0	90	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
gene:Bo4g074330	gene:Bo4g074330	Bo4g074330.1	protein_coding	0	0	0	90	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
Bo4g164740.1_exon_1	GENE_Bo4g164740.1_exon_1	transcript:Bo4g164740.1	protein_coding	0	0	1	130	0	0	0	0	60	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	67
gene:Bo4g164740	gene:Bo4g164740	Bo4g164740.1	protein_coding	0	0	0	131	0	0	0	0	60	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	67
Bo4g164740.1_exon_1	GENE_Bo4g164740.1_exon_1	transcript:Bo4g164740.1	protein_coding	0	0	1	130	0	0	0	0	60	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	67
gene:Bo4g164740	gene:Bo4g164740	Bo4g164740.1	protein_coding	0	0	0	131	0	0	0	0	60	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	67
Bo9g181670.1_exon_1	GENE_Bo9g181670.1_exon_1	transcript:Bo9g181670.1	protein_coding	0	1	1	216	0	0	0	0	78	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	1	126
gene:Bo9g181670	gene:Bo9g181670	Bo9g181670.1	protein_coding	0	0	0	218	0	0	0	0	78	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	126
Bo2g012820.1_exon_11	GENE_Bo2g012820.1_exon_11	transcript:Bo2g012820.1	protein_coding	0	4	4	206	0	1	0	0	58	0	0	0	15	3	0	0	0	0	0	1	0	0	0	0	3	134
gene:Bo2g012820	gene:Bo2g012820	Bo2g012820.1	protein_coding	0	0	0	214	0	0	0	0	134	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	58
Bo3g012730.1_exon_6	GENE_Bo3g012730.1_exon_6	transcript:Bo3g012730.1	protein_coding	0	3	6	232	0	0	0	0	87	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	3	137
gene:Bo3g012730	gene:Bo3g012730	Bo3g012730.1	protein_coding	0	0	0	241	0	0	0	0	137	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	87
Bo9g159960.1_exon_1	GENE_Bo9g159960.1_exon_1	transcript:Bo9g159960.1	protein_coding	0	2	2	245	0	0	0	0	140	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	2	98
gene:Bo9g159960	gene:Bo9g159960	Bo9g159960.1	protein_coding	0	0	0	249	0	0	0	0	140	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	98
Bo2g032410.1_exon_1	GENE_Bo2g032410.1_exon_1	transcript:Bo2g032410.1	protein_coding	0	2	7	146	0	0	0	0	134	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	12
gene:Bo2g032410	gene:Bo2g032410	Bo2g032410.1	protein_coding	0	0	0	155	0	0	0	0	134	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	12
Bo3g019340.1_exon_1	GENE_Bo3g019340.1_exon_1	transcript:Bo3g019340.1	protein_coding	2	20	14	257	0	0	0	0	50	0	2	0	17	14	0	0	0	0	0	0	0	0	0	0	20	190
gene:Bo3g019340	gene:Bo3g019340	Bo3g019340.1	protein_coding	0	0	0	293	0	0	0	0	50	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	190
Bo3g019340.1_exon_1	GENE_Bo3g019340.1_exon_1	transcript:Bo3g019340.1	protein_coding	2	20	14	257	0	0	0	0	50	0	2	0	17	14	0	0	0	0	0	0	0	0	0	0	20	190
gene:Bo3g019340	gene:Bo3g019340	Bo3g019340.1	protein_coding	0	0	0	293	0	0	0	0	50	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	190
Bo5g078770.1_exon_7	GENE_Bo5g078770.1_exon_7	transcript:Bo5g078770.1	protein_coding	7	9	8	323	0	0	0	0	201	0	5	0	17	8	0	0	0	0	1	4	0	2	0	1	5	109
gene:Bo5g078770	gene:Bo5g078770	Bo5g078770.1	protein_coding	0	0	0	347	0	0	0	0	109	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	201
Bo8g045980.1_exon_14	GENE_Bo8g045980.1_exon_14	transcript:Bo8g045980.1	protein_coding	1	3	1	254	0	0	0	0	82	0	0	0	7	1	0	0	0	1	0	3	0	0	0	0	0	169
gene:Bo8g045980	gene:Bo8g045980	Bo8g045980.1	protein_coding	0	0	0	259	0	0	0	0	169	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	82
Bo7g008400.1_exon_1	GENE_Bo7g008400.1_exon_1	transcript:Bo7g008400.1	protein_coding	0	13	8	396	0	0	0	0	204	0	0	0	13	8	0	0	0	0	0	1	0	0	0	0	12	180
gene:Bo7g008400	gene:Bo7g008400	Bo7g008400.1	protein_coding	0	0	0	417	0	0	0	0	204	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	180
Bo7g008410.1_exon_2	GENE_Bo7g008410.1_exon_2	transcript:Bo7g008410.1	protein_coding	4	100	46	219	0	0	0	0	66	0	4	0	28	46	0	0	0	0	0	1	0	0	0	0	99	126
gene:Bo7g008410	gene:Bo7g008410	Bo7g008410.1	protein_coding	0	0	0	369	0	0	0	0	126	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	66
Bo2g164130.1_exon_2	GENE_Bo2g164130.1_exon_2	transcript:Bo2g164130.1	protein_coding	0	2	7	190	0	0	0	0	21	0	0	0	33	7	0	0	0	0	0	0	0	0	0	0	2	136
gene:Bo2g164130	gene:Bo2g164130	Bo2g164130.1	protein_coding	0	0	0	199	0	0	0	0	136	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	21
